交易日期,種類代碼,作物代號,作物名稱,市場代號,市場名稱,上價,中價,下價,平均價,交易量
111.12.07,N05,22,棗子,104,台北二,156,96.4,59.9,101,1422
111.12.07,N05,469,藍莓-進口藍莓,104,台北二,133.3,133.3,133.3,133.3,1240
111.12.07,N05,51,百香果-改良種,104,台北二,82.3,40.8,25.6,46.1,6830
111.12.07,N05,811,火龍果-白肉,104,台北二,107.8,76.4,53.7,78.1,2196
111.12.07,N05,A0,香蕉-其他,104,台北二,8,6.4,6,6.6,89
111.12.07,N05,A4,香蕉-越旦,104,台北二,22.1,18,13.5,18,590
111.12.07,N05,B2,鳳梨-金鑽鳳梨,104,台北二,32.5,21.8,11.5,21.9,5568
111.12.07,N05,C6,佛利檬-佛利檬,104,台北二,60,48,23.8,45.6,3220
111.12.07,,C8,,104,台北二,103.9,66.3,34.2,67.4,541
111.12.07,N05,C9,椪柑-進口,104,台北二,113.8,37,37,52.4,2583
111.12.07,N05,E0,甜橙-其他,104,台北二,60,56.1,55,56.7,90
111.12.07,N05,F0,雜柑-其他,104,台北二,35,24,14.2,24.2,259
111.12.07,N05,F2,雜柑-金棗,104,台北二,61.5,52.8,50,54,96
111.12.07,N05,F4,雜柑-桔子,104,台北二,50,44.4,32.6,43.2,136
111.12.07,N05,F5,雜柑-無子檸檬,104,台北二,92.2,51.6,30.9,55.6,1379
111.12.07,N04,FB0,花椰菜-其他,104,台北二,45,45,45,45,40
111.12.07,N04,FD0,花胡瓜-其他,104,台北二,122.7,82.7,40,82.2,106
111.12.07,N04,FG0,苦瓜-其他,104,台北二,57,39.5,30,41.1,1113
111.12.07,N04,FG3,苦瓜-山苦瓜,104,台北二,105,105,105,105,14
111.12.07,N06,FA810,康乃馨-多朵紅,105,台北市場,22,22,22,22,30
111.12.07,N06,FA884,康乃馨-多朵黃帶紅,105,台北市場,26,26,26,26,60
111.12.07,N06,FA986,美女撫子-白,105,台北市場,56,56,56,56,16
111.12.07,   ,FA990,繡球撫子-紫白,105,台北市場,105,67,33,67.8,96
111.12.07,N06,FB105,火鶴花-紅綠邊,105,台北市場,11,10,8,10,90
111.12.07,,FB113,,105,台北市場,17,11,6,11,1232
111.12.07,N06,FB407,火鶴花-夢幻,105,台北市場,13,9,6,9.5,400
111.12.07,N06,FB419,火鶴花-太極,105,台北市場,15,9,5,9.7,160
111.12.07,N06,FB420,火鶴花-小紅莓,105,台北市場,16,15,13,14.8,315
111.12.07,N06,FB504,火鶴花-雷夢娜,105,台北市場,13,10,7,10,155
111.12.07,N06,FB700,火鶴花-花紫,105,台北市場,13,8,5,8.2,815
111.12.07,N06,FB805,火鶴花-黑珍珠,105,台北市場,6,5,5,5.2,435
111.12.07,N06,FC100,大菊-紅,105,台北市場,106,101,101,102.2,84
111.12.07,   ,FC206,大菊-金嗓,105,台北市場,121,106,99,107.6,100
111.12.07,,FC207,,105,台北市場,100,100,100,100,66
111.12.07,,FC208,,105,台北市場,94,88,82,88,80
111.12.07,N06,FC300,大菊-黃,105,台北市場,98,98,98,98,20
111.12.07,N06,FC302,大菊-世界一,105,台北市場,176,164,107,155.3,263
111.12.07,N06,FC400,大菊-粉,105,台北市場,82,79,70,78,75
111.12.07,N06,FC408,大菊-粉乒乓,105,台北市場,74,74,74,74,56
111.12.07,N06,FC410,大菊-羅莎諾粉,105,台北市場,144,143,134,141.6,125
111.12.07,N06,FC613,大菊-白天星,105,台北市場,32,27,19,26.4,175
111.12.07,N06,FC800,大菊-  染色大菊,105,台北市場,123,107,88,106.6,615
111.12.07,   ,FC804,染大菊-白天星,105,台北市場,100,74,25,69.7,690
111.12.07,N06,FD100,小菊-紅,105,台北市場,112,110,70,102.1,107
111.12.07,N06,FD113,小菊-日本小紅,105,台北市場,114,105,65,98.9,313
111.12.07,N06,FD200,小菊-金,105,台北市場,130,100,67,99.6,248
111.12.07,N06,FD300,小菊-黃,105,台北市場,102,96,65,91.3,230
111.12.07,N06,FD326,小菊-蒙那麗莎陽光黃,105,台北市場,71,50,45,53.3,210
111.12.07,N06,FD350,小菊-黃風車,105,台北市場,110,107,99,105.9,48
111.12.07,N06,FD431,小菊-桃紅雲南菊,105,台北市場,85,85,85,85,15
111.12.07,,FD457,,105,台北市場,93,82,62,80,1013
111.12.07,N06,FD504,小菊-貝雷錄,105,台北市場,110,105,100,105,30
111.12.07,,FD657,,105,台北市場,120,94,53,90.9,197
111.12.07,N06,FD802,染小菊-白鑽石,105,台北市場,82,63,31,60.5,436
111.12.07,N06,FE001,非洲菊-混合色,105,台北市場,102,59,46,64.9,900
111.12.07,N06,FE100,非洲菊-紅,105,台北市場,23,23,23,23,20
111.12.07,   ,FE112,非洲-天籟,105,台北市場,62,33,22,36.4,536
111.12.07,N06,FE400,非洲菊-粉,105,台北市場,16,16,16,16,20
111.12.07,N06,FE409,非洲菊-粉紅魅力,105,台北市場,80,57,53,60.6,166
111.12.07,N06,FG105,劍蘭-２３５號,105,台北市場,30,27,24,27,40
111.12.07,N06,FG200,劍蘭-橙,105,台北市場,39,39,39,39,40
111.12.07,N06,FH000,其它花卉-其它花卉,105,台北市場,168,43,5,60.6,476
111.12.07,N06,FH052,水仙百合-橙,105,台北市場,43,42,40,41.5,40
111.12.07,N06,FH123,黃金鳥-黃金鳥,105,台北市場,36,29,24,29.3,48
111.12.07,N06,FH131,鶴焦-鶴焦,105,台北市場,20,14,8,13.9,115
111.12.07,N06,FH240,麥桿菊-麥桿菊,105,台北市場,59,56,52,56.1,61
111.12.07,N05,22,棗子,109,台北一,162.6,85.6,45.7,93,4244
111.12.07,N05,70,小番茄-其他,109,台北一,80.7,51.9,39.7,55.2,1229
111.12.07,N05,74,小番茄-玉女,109,台北一,255.8,156.3,78.8,160.7,5970
111.12.07,N05,839,櫻桃-進口,109,台北一,353,316.5,262.8,313.1,1099
111.12.07,N05,A3,香蕉-旦蕉,109,台北一,72.2,37.4,27.3,42.4,187
111.12.07,N05,A4,香蕉-越旦,109,台北一,19,14.1,10.4,14.3,945
111.12.07,N05,B2,鳳梨-金鑽鳳梨,109,台北一,26.1,19.2,12.6,19.2,16603
111.12.07,N05,C1,椪柑,109,台北一,60.5,37.4,17.7,38.1,59456
111.12.07,,C8,,109,台北一,140.6,86.5,43.4,88.7,4112
111.12.07,N05,E0,甜橙-其他,109,台北一,18,17.2,16,17.1,105
111.12.07,N05,F2,雜柑-金棗,109,台北一,54.2,46,45,47.4,144
111.12.07,N05,F9,雜柑-進口,109,台北一,166.7,142.2,133.3,145.3,78
111.12.07,N04,FB0,花椰菜-其他,109,台北一,60,43,35,44.8,52
111.12.07,N04,FB11,花椰菜-青梗,109,台北一,69.2,46.6,26.2,47,13396
111.12.07,N04,FC1,胡瓜-黑刺,109,台北一,54.6,40.3,24.4,40,8005
111.12.07,N04,FD0,花胡瓜-其他,109,台北一,86.6,82.1,71.1,80.8,234
111.12.07,N04,FE1,冬瓜-白皮,109,台北一,15.9,10.7,5.8,10.7,5651
111.12.07,N05,22,棗子,220,板橋區,60,53.7,50,54.2,1200
111.12.07,N05,51,百香果-改良種,220,板橋區,39.7,32.2,23.7,32,1551
111.12.07,N05,70,小番茄-其他,220,板橋區,60,60,60,60,12
111.12.07,N05,74,小番茄-玉女,220,板橋區,100.2,96.1,81,93.9,2424
111.12.07,N05,839,櫻桃-進口,220,板橋區,700,669.7,533.3,648.5,330
111.12.07,N05,91,其他,220,板橋區,25,13.9,10,15.4,112
111.12.07,N05,A0,香蕉-其他,220,板橋區,10,10,8,9.6,826
111.12.07,N05,A4,香蕉-越旦,220,板橋區,30,26.1,21.4,25.9,312
111.12.07,N05,B2,鳳梨-金鑽鳳梨,220,板橋區,22.4,16.6,13.1,17,5399
111.12.07,N05,C1,椪柑,220,板橋區,39.4,26.3,18.6,27.4,22839
111.12.07,N05,C7,豔陽柑-豔陽柑,220,板橋區,40,37.5,35,37.5,600
111.12.07,,C8,,220,板橋區,50,44.4,29.4,42.5,115
111.12.07,N04,FC1,胡瓜-黑刺,220,板橋區,42.5,30.1,17.8,30.1,1501
111.12.07,N04,FF0,絲瓜-其他,220,板橋區,55,55,55,55,18
111.12.07,N05,129,椰子-進口剝殼,241,三重區,60,51.3,50,52.8,360
111.12.07,N05,31,釋迦,241,三重區,64.6,50,48.8,52.7,8198
111.12.07,N05,32,釋迦-鳳梨釋迦,241,三重區,37.1,30,29.8,31.4,6438
111.12.07,N05,45,草莓,241,三重區,118,118,82,110.8,1314.5
111.12.07,N05,51,百香果-改良種,241,三重區,64.1,31.6,23.3,36.4,7160
111.12.07,N05,70,小番茄-其他,241,三重區,47.7,35.8,26.9,36.4,774
111.12.07,N05,74,小番茄-玉女,241,三重區,107.8,96.9,56.3,91,11781
111.12.07,N05,812,火龍果-紅肉,241,三重區,78.5,54.1,39,56,17482
111.12.07,N05,839,櫻桃-進口,241,三重區,561.3,500,476.2,507.5,1577.5
111.12.07,N05,A0,香蕉-其他,241,三重區,10,10,9.2,9.8,168
111.12.07,N05,A4,香蕉-越旦,241,三重區,28.7,24.4,18.1,24,1158
111.12.07,N05,C1,椪柑,241,三重區,37,23,21.1,25.4,109015
111.12.07,N05,C4,紅柑-美女柑,241,三重區,25,25,25,25,80
111.12.07,N05,C5,溫州柑-溫州柑,241,三重區,30,30,30,30,12
111.12.07,,C8,,241,三重區,115.3,60.7,48.9,69.2,1277
111.12.07,N05,E0,甜橙-其他,241,三重區,25,25,21.5,24.3,285
111.12.07,N05,E3,甜橙-紅肉柳橙,241,三重區,20,11.7,8,12.6,414
111.12.07,N05,F2,雜柑-金棗,241,三重區,53.1,31.8,27.8,35.3,562
111.12.07,N05,F9,雜柑-進口,241,三重區,514.3,501.1,500,503.5,42.5
111.12.07,N04,FB1,花椰菜-青梗,241,三重區,46.7,38.3,19.9,36.3,3368
111.12.07,N04,FC1,胡瓜-黑刺,241,三重區,31.2,18.7,10,19.5,2149
111.12.07,N04,FG4,苦瓜-翠綠,241,三重區,25,25,25,25,40
111.12.07,N05,31,釋迦,260,宜蘭市,95,75,30,75,1000
111.12.07,N05,32,釋迦-鳳梨釋迦,260,宜蘭市,63,55,30,55,1200
111.12.07,N05,45,草莓,260,宜蘭市,200,120,60,120,1000
111.12.07,N05,72,小番茄-聖女,260,宜蘭市,95,50,20,50,1600
111.12.07,N05,74,小番茄-玉女,260,宜蘭市,270,170,100,170,1000
111.12.07,N05,812,火龍果-紅肉,260,宜蘭市,85,65,30,65,2800
111.12.07,N05,C1,椪柑,260,宜蘭市,62,42,30,42,5600
111.12.07,N05,F1,雜柑-檸檬,260,宜蘭市,110,70,25,70,1200
111.12.07,N04,FF1,絲瓜-絲瓜,260,宜蘭市,60,45,30,45,1200
111.12.07,N05,45,草莓,338,桃農,255,255,255,255,13
111.12.07,N05,72,小番茄-聖女,338,桃農,33.9,28.1,23.5,28.3,222
111.12.07,N05,811,火龍果-白肉,338,桃農,50,42.6,40,43.6,38
111.12.07,N05,A2,香蕉-芭蕉紅芭蕉,338,桃農,25,25,25,25,17
111.12.07,N04,FF1,絲瓜-絲瓜,338,桃農,47.6,38.2,26.6,37.8,465
111.12.07,N05,32,釋迦-鳳梨釋迦,400,台中市,63.3,45.6,25.9,48.8,2641
111.12.07,N05,45,草莓,400,台中市,206.7,166.7,100,168.7,5686
111.12.07,N05,70,小番茄-其他,400,台中市,73.9,46,27.5,47.6,2841
111.12.07,N05,A1,香蕉,400,台中市,20,14.4,8.4,17.8,41650
111.12.07,N05,A3,香蕉-旦蕉,400,台中市,30,30,20,28.2,333
111.12.07,N05,C1,椪柑,400,台中市,48.4,30.1,13.2,33.5,105170
111.12.07,N05,C6,佛利檬-佛利檬,400,台中市,42.6,36.8,27,35.5,2341
111.12.07,,C8,,400,台中市,65.2,56.7,38.8,58.2,4200
111.12.07,N05,C9,椪柑-進口,400,台中市,125,125,125,125,352
111.12.07,N05,E0,甜橙-其他,400,台中市,25,20,10,19.3,616
111.12.07,N05,E1,甜橙-柳橙,400,台中市,22.2,16.8,10.7,18.9,27937
111.12.07,N05,F1,雜柑-檸檬,400,台中市,71.7,48,16.5,52.9,4272
111.12.07,N05,F2,雜柑-金棗,400,台中市,50,42,32.5,44.9,597
111.12.07,N05,F5,雜柑-無子檸檬,400,台中市,64,40,26,42.7,161
111.12.07,N05,F9,雜柑-進口,400,台中市,125,125,125,125,84
111.12.07,N04,FA1,黃秋葵,400,台中市,91.2,58.4,24,59.3,151
111.12.07,N04,FB1,花椰菜-青梗,400,台中市,45.7,34.6,15.6,34.2,2028
111.12.07,N04,FD1,花胡瓜,400,台中市,70.2,50.1,34.2,52.4,2175
111.12.07,N04,FE1,冬瓜-白皮,400,台中市,12.2,9,6,9.6,702
111.12.07,N04,FH1,扁蒲-長形,400,台中市,25,24,24,24.2,144
111.12.07,N05,11,椰子,420,豐原區,12,8.4,7,8.8,135.7
111.12.07,N05,31,釋迦,420,豐原區,81.2,55.2,38.7,57.1,1045.4
111.12.07,N05,70,小番茄-其他,420,豐原區,50,50,50,50,12
111.12.07,N05,C1,椪柑,420,豐原區,39.8,29.2,15,28.5,5808.6
111.12.07,,C8,,420,豐原區,68,58.9,37,56.4,106.4
111.12.07,N05,F1,雜柑-檸檬,420,豐原區,63,44.4,37,46.6,25.7
111.12.07,N04,FD1,花胡瓜,420,豐原區,80.6,56.1,38.6,57.5,631
111.12.07,N05,C1,椪柑,423,東勢鎮,49.7,31.9,14.8,31.92,9663.6
111.12.07,N05,E0,甜橙-其他,423,東勢鎮,44.7,31.6,25,33.18,924
111.12.07,N05,F1,雜柑-檸檬,423,東勢鎮,47.5,24.5,11.6,32.31,1602.6
111.12.07,N04,FC1,胡瓜-黑刺,514,溪湖鎮,49.5,30,30,33.9,1613
111.12.07,N04,FG1,苦瓜-白大米,514,溪湖鎮,76.5,60,43.5,60,463
111.12.07,N04,FD1,花胡瓜,540,南投市,70,62,40,61.67,120
111.12.07,N05,31,釋迦,600,嘉義市,85,50,30,50,3000
111.12.07,N05,812,火龍果-紅肉,600,嘉義市,70,45,20,45,2000
111.12.07,N05,859,榴槤-進口,600,嘉義市,180,167,130,167,500
111.12.07,N05,91,其他,600,嘉義市,66,36,11,36,3500
