"期間","資產合計=負債權益合計-原始值","資產合計=負債權益合計-年增率","國外資產-原始值","國外資產-年增率","對政府放款及墊款-原始值","對政府放款及墊款-年增率","公開市場操作買入有價證券-計-原始值","公開市場操作買入有價證券-計-年增率","公開市場操作買入有價證券-政府機關-原始值","公開市場操作買入有價證券-政府機關-年增率","公開市場操作買入有價證券-公營事業-原始值","公開市場操作買入有價證券-公營事業-年增率","公開市場操作買入有價證券-民營企業-原始值","公開市場操作買入有價證券-民營企業-年增率","公開市場操作買入有價證券-金融機構-原始值","公開市場操作買入有價證券-金融機構-年增率","對金融機構債權-計-原始值","對金融機構債權-計-年增率","對金融機構債權-其他貨幣機構-原始值","對金融機構債權-其他貨幣機構-年增率","對金融機構債權-其他貨幣機構-本國銀行-原始值","對金融機構債權-其他貨幣機構-本國銀行-年增率","對金融機構債權-信託投資公司-原始值","對金融機構債權-信託投資公司-年增率","庫存現金-原始值","庫存現金-年增率","其他資產-原始值","其他資產-年增率"
"1987","2768757","-","2264210","-","2483","-","5","-","5","-","-","-","-","-","-","-","58284","-","57703","-","-","-","581","-","811","-","442964","-"
"1988","2732883","-","2233670","-","2049","-","2386","-","2386","-","-","-","-","-","-","-","9651","-","9240","-","-","-","411","-","647","-","484480","-"
"1989","2754023","0.77354","2068915","-7.37598","2044","-0.24402","2384","-0.08382","2384","-0.08382","-","-","-","-","-","-","123854","1183.32815","123336","1234.80519","-","-","518","26.03406","552","-14.68315","556274","14.81877"
"1990","2646854","-3.89136","2116554","2.30261","2043","-0.04892","1788","-25.00000","1788","-25.00000","-","-","-","-","-","-","192154","55.14557","191690","55.42096","-","-","464","-10.42471","735","33.15217","333580","-40.03315"
"1991","2933561","10.83199","2274610","7.46761","2042","-0.04895","2139","19.63087","2139","19.63087","-","-","-","-","-","-","243751","26.85190","243058","26.79743","-","-","693","49.35345","770","4.76190","410249","22.98369"
"1992","2988365","1.86817","2244136","-1.33975","2041","-0.04897","69383","3143.71201","10193","376.53109","-","-","5145","-","-","-","220426","-9.56919","219690","-9.61417","-","-","736","6.20491","1148","49.09091","451231","9.98954"
"1993","2963396","-0.83554","2381601","6.12552","2041","-","711","-98.97525","711","-93.02462","-","-","-","-100.00000","-","-","255848","16.06979","254648","15.91242","-","-","1200","63.04348","1379","20.12195","321816","-28.68043"
"1994","3166452","6.85214","2579694","8.31764","2040","-0.04900","474","-33.33333","474","-33.33333","-","-","-","-","-","-","354721","38.64521","353802","38.93767","-","-","919","-23.41667","1059","-23.20522","228464","-29.00788"
"1995","3100536","-2.08170","2617124","1.45095","2040","-","237","-50.00000","237","-50.00000","-","-","-","-","-","-","417786","17.77876","416652","17.76417","-","-","1134","23.39499","698","-34.08876","62651","-72.57730"
"1996","3141693","1.32742","2573175","-1.67929","2040","-","-","-100.00000","-","-100.00000","-","-","-","-","-","-","439210","5.12798","438894","5.33827","-","-","316","-72.13404","336","-51.86246","126932","102.60171"
"1997","3360411","6.96179","2875757","11.75909","2040","-","24048","-","23548","-","-","-","-","-","500","-","382558","-12.89861","382476","-12.85458","349372","-","82","-74.05063","415","23.51190","75593","-40.44607"
"1998","3654062","8.73854","3063053","6.51293","2040","-","29592","23.05389","19518","-17.11398","-","-","-","-","10074","1914.80000","442264","15.60705","442264","15.63183","424249","21.43188","-","-100.00000","200","-51.80723","116913","54.66115"
"1999","4140407","13.30971","3490868","13.96695","2040","-","-","-100.00000","-","-100.00000","-","-","-","-","-","-100.00000","507458","14.74097","507458","14.74097","486562","14.68784","-","-","331","65.50000","139710","19.49911"
"2000","4133382","-0.16967","3674295","5.25448","2040","-","37860","-","21600","-","-","-","-","-","16260","-","294521","-41.96150","287521","-43.34093","288603","-40.68526","7000","-","166","-49.84894","124500","-10.88684"
"2001","5014980","21.32873","4430897","20.59176","2040","-","-","-100.00000","-","-100.00000","-","-","-","-","-","-100.00000","454918","54.46029","454918","58.22079","455914","57.97272","-","-100.00000","290","74.69880","126835","1.87550"
"2002","6577933","31.16569","5775104","30.33713","2040","-","-","-","-","-","-","-","-","-","-","-","672020","47.72333","672020","47.72333","665412","45.95121","-","-","257","-11.37931","128512","1.32219"
"2003","8145026","23.82349","7178305","24.29742","-","-100.00000","-","-","-","-","-","-","-","-","-","-","807892","20.21845","807892","20.21845","796298","19.66992","-","-","350","36.18677","158479","23.31844"
"2004","8517042","4.56740","7832744","9.11690","-","-","-","-","-","-","-","-","-","-","-","-","490258","-39.31639","490258","-39.31639","490257","-38.43297","-","-","210","-40.00000","193830","22.30643"
