證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","8129000","933888500","114.50","115.85","114.20","114.60","-0.7000","3344"
"0051","元大中型100","20000","1052600","53.15","53.15","52.15","52.70","-0.3000","17"
"0052","富邦科技","245000","23990700","98.00","98.95","97.45","97.45","-1.1000","166"
"0053","元大電子","4000","220000","54.70","55.30","54.70","54.95","-0.3500","4"
"0055","元大MSCI金融","203000","4440320","21.74","22.00","21.74","21.91","0.1000","98"
"0056","元大高股息","26539000","675535890","25.52","25.58","25.33","25.44","-0.1700","12008"
"0057","富邦摩台","3000","245350","81.75","81.85","81.75","81.85","-0.7000","3"
"0061","元大寶滬深","205000","3843700","18.65","18.81","18.65","18.81","0.1600","75"
"006203","元大MSCI台灣","5000","278550","55.75","55.80","55.50","55.50","-0.7500","4"
"006204","永豐臺灣加權","21000","1543500","73.50","73.50","73.50","73.50","-0.3500","3"
"006205","富邦上証","805000","25475560","31.65","31.82","31.52","31.81","0.2600","96"
"006206","元大上證50","89000","2697060","30.36","30.44","30.10","30.44","0.2600","34"
"006207","FH滬深","107000","2624100","24.62","24.83","24.48","24.83","0.2100","13"
"006208","富邦台50","2192000","142360750","64.95","65.55","64.60","64.75","-0.4500","1135"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","6904000","689833200","99.40","101.30","98.85","99.10","-1.0000","2047"
"00632R","元大台灣50反1","310757000","1782029120","5.75","5.77","5.69","5.76","0.0300","12190"
"00633L","富邦上証正2","10626000","423506710","39.53","40.38","39.35","40.33","0.8900","1690"
"00634R","富邦上証反1","323000","1444770","4.51","4.51","4.44","4.44","-0.0700","77"
"00635U","期元大S&P黃金","133000","3051290","22.93","22.98","22.89","22.94","0.0100","54"
"00636","國泰中國A50","836000","17835940","21.22","21.50","21.20","21.49","0.2700","195"
"00636K","國泰中國A50+U","200","1392","6.96","6.96","6.96","6.96","0.0100","2"
"00637L","元大滬深300正2","93600000","1466274820","15.54","15.91","15.49","15.91","0.4200","9751"
"00638R","元大滬深300反1","358000","3382540","9.51","9.51","9.39","9.39","-0.0800","125"
"00639","富邦深100","199000","2532590","12.64","12.80","12.64","12.80","0.1500","69"
"00640L","富邦日本正2","117000","3338240","28.45","28.59","28.45","28.50","-0.0200","38"
"00641R","富邦日本反1","276000","2666880","9.68","9.68","9.64","9.65","-0.0200","51"
"00642U","期元大S&P石油","13416000","214093360","16.03","16.04","15.90","15.98","-0.6200","3256"
"00643","群益深証中小","493000","7445840","15.10","15.21","15.04","15.20","0.1700","126"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","112000","2922450","26.08","26.14","26.08","26.14","0.1400","65"
"00646","元大S&P500","324000","12142190","37.46","37.51","37.42","37.50","-0.3100","153"
"00647L","元大S&P500正2","147000","7763150","52.80","52.95","52.65","52.90","-1.3000","84"
"00648R","元大S&P500反1","4679000","34509690","7.38","7.40","7.36","7.38","0.1000","299"
"00650L","FH香港正2","14285000","193570140","13.35","13.83","13.28","13.74","0.5100","1487"
"00651R","FH香港反1","1734000","14995900","8.73","8.80","8.56","8.58","-0.1500","296"
"00652","富邦印度","77000","2392510","31.15","31.15","31.03","31.03","-0.1600","52"
"00653L","富邦印度正2","83000","4041190","48.60","48.85","48.37","48.37","-0.3800","49"
"00654R","富邦印度反1","331000","2531380","7.65","7.66","7.61","7.65","0.0200","63"
