產品類別,產品代號,品名,包裝,單位,建議售價,備註
酒,21JR10,玉泉紹興酒,0.6L,瓶,175,空瓶可退
酒,21JQ10,玉泉陳年紹興酒,0.6L,瓶,200,空瓶可退
酒,211900,玉泉精釀陳年紹興酒,0.6L,瓶,290,無
酒,210208,玉泉罈裝特級陳年紹興酒,1.2L,罈,820,無
酒,214800,玉泉十年窖藏精釀陳紹,0.6L,瓶,300,無
酒,214801,玉泉十年窖藏精釀陳紹,3L,罈,1750,無
酒,217610,玉泉窖藏16年精釀陳紹-女兒紅,0.6L,瓶,450,無
酒,21A210,玉泉窖藏18年精釀陳紹-狀元紅,0.6L,瓶,480,無
酒,21JM00,玉泉特級紅露酒,0.6L,瓶,145,空瓶可退
酒,217580,玉泉金雞陳年紅露酒,0.6L,瓶,170,空瓶可退
酒,21J010,玉泉黃酒,0.6L,瓶,165,空瓶可退
酒,211070,玉泉花雕酒,0.6L,瓶,230,空瓶可退
酒,211009,玉泉花雕酒(瓷),1.8L,罈,1300,無
酒,21JS00,玉泉清酒,0.6L,瓶,165,無
酒,217000,玉泉純米清酒,0.6L,瓶,200,無
酒,21k105,菊富士生貯藏清酒,0.5L,瓶,200,無
酒,262206,台酒特級玫瑰紅酒,0.55L,瓶,120,無
酒,220902,玉泉特級玫瑰紅酒,0.75L,瓶,200,無
酒,222412,玉泉洋蔥紅酒(新標),0.75L,瓶,300,無
酒,223762,玉泉紅麴葡萄酒(金標),0.75L,瓶,350,無
酒,222202,玉泉極品紅麴葡萄酒,0.75L,瓶,500,無
酒,224172,0.75公升玉泉台灣之美紅葡萄酒(幾何圖形版),0.75L,瓶,250,無
酒,224332,0.75公升玉泉極品台灣之美紅葡萄酒(幾何圖形版),0.75L,瓶,500,無
酒,224722,0.75公升玉泉台灣之美白葡萄酒(幾何圖形版),0.75L,瓶,280,無
酒,6700164,玉泉法國紅葡萄酒,0.75L,瓶,280,無
酒,22170A,玉泉荔枝酒,0.375L,瓶,200,無
酒,26080A,玉泉烏梅酒,0.375L,瓶,200,無
酒,26240A,玉泉青梅酒,0.375L,瓶,200,無
酒,221502,玉泉金香白葡萄酒,0.75L,瓶,200,無
酒,221600,玉泉特級紅葡萄酒,0.6L,瓶,190,無
酒,222002,玉泉紅麴葡萄酒,0.75L,瓶,300,無
酒,23C2A1,玉山台灣高粱酒,0.3L,瓶,165,無
酒,23C2A0,玉山台灣高粱酒,0.6L,瓶,320,無
酒,23C232,玉山台灣高粱酒,0.75L,瓶,410,無
酒,23Q010,玉山高粱酒八年甕藏(帝雉)(普銷版),0.6L,瓶,1000,無
酒,232500,玉山清香高粱酒,0.6L,瓶,330,無
酒,23F100,玉山三年38度高粱酒,0.6L,瓶,340,無
酒,23G100,玉山三年58度高粱酒,0.6L,瓶,370,無
酒,2330A0,玉山台灣六年陳高,0.6L,瓶,800,無
酒,23L710,玉山高粱酒六年陳高(黑標),0.6L,瓶,700,無
酒,23PF00,玉山大曲(59.5%),0.6L,瓶,400,無
酒,23PX10,玉山大曲八年甕藏(普銷版),0.6L,瓶,1000,無
酒,233608,玉山頂級陳高,0.66L,瓶,900,無
酒,2354J7,台灣原窖八年陳高(瓷瓶玉山圖),0.7L,瓶,1800,無
酒,23J175,玉山台灣原窖高粱酒十二年陳高(葫蘆瓶),0.5L,瓶,4800,無
酒,231101,玉山茅台酒,0.3L,瓶,240,無
酒,231155,玉山瓷瓶茅台酒,0.5L,瓶,430,無
酒,233302,玉山瓷瓶二鍋頭,0.75L,瓶,700,無
酒,23K901,玉山台灣參茸酒,0.3L,瓶,85,無
酒,255201,玉山特級參茸酒,0.3L,瓶,135,無
酒,23L001,玉山台灣鹿茸酒,0.3L,瓶,85,無
酒,255301,玉山特級鹿茸酒,0.3L,瓶,135,無
酒,255601,玉山五加皮酒,0.3L,瓶,150,無
酒,255600,玉山雙鹿五加皮酒(瓷瓶),0.6L,瓶,420,無
酒,255701,玉山竹葉青酒,0.3L,瓶,170,無
酒,255705,玉山竹葉青酒(瓷瓶),0.5L,瓶,380,無
酒,255501,玉山龍鳳酒,0.3L,瓶,150,無
酒,242200,玉山白蘭地,0.6L,瓶,450,無
酒,2401A0,玉山福祿白蘭地,0.6L,瓶,640,無
酒,240302,玉山蘭姆酒,0.75L,瓶,300,無
酒,2406A2,玉山伏特加,0.75L,瓶,270,無
酒,2407A2,玉山琴酒,0.75L,瓶,270,無
酒,2318D0,玉尊威士忌(黑盒),0.6L,瓶,320,無
酒,237927,玉尊台灣威士忌(新標),0.7L,瓶,450,無
酒,23A112,玉尊經典台灣威士忌(新標),0.7L,瓶,550,無
酒,23NH00,0.7公升玉尊麥芽威士忌(新版),0.7L,瓶,720,無
酒,23PD16,OMAR單一麥芽威士忌(波本花香)(46%),0.2L,瓶,350,無
酒,23PD17,OMAR單一麥芽威士忌(波本花香)(46%),0.7L,瓶,1100,無
酒,23PD06,OMAR單一麥芽威士忌(雪莉果乾)(46%),0.2L,瓶,380,無
酒,23PD07,OMAR單一麥芽威士忌(雪莉果乾)(46%),0.7L,瓶,1200,無
酒,282900,紅標料理米酒,0.6L,瓶,27,空瓶可退
酒,284100,紅標純米料理米酒,0.6L,瓶,48,空瓶可退
酒,282904,6L紅標料理米酒,6L,桶,250,無
酒,280400,公賣局40度料理米酒,0.6L,瓶,45,空瓶可退
酒,281100,公賣局58度料理米酒,0.6L,瓶,65,空瓶可退
酒,235391,公賣局特級紅標純米酒,0.3L,瓶,45,無
酒,235330,公賣局特級紅標純米酒,0.6L,瓶,90,空瓶可退
酒,23H800,公賣局米酒頭,0.6L,瓶,140,無
酒,252500,公賣局紅標米酒水,0.6L,瓶,50,空瓶可退
酒精,271005,優質酒精(95度),0.5L,瓶,75,無
啤酒,21D710,0.6公升瓶裝爽啤(1年期),0.6L,瓶,43,無
啤酒,21D723,0.33公升罐裝爽啤(1年期),0.33L,罐,26,無
